team_id,player_id,starter_probability,as_of_utc,source,season,needs_human_review,player_name,rank,source_manifest_hash,origin,qb_review_status
PHI,00-0038400,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Tanner McKee,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
PIT,00-0029263,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Russell Wilson,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
PIT,00-0036945,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Justin Fields,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
PIT,00-0034577,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Kyle Allen,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
SEA,00-0030565,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Geno Smith,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
SEA,00-0037077,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Sam Howell,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
SEA,00-0038598,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jaren Hall,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
SF,00-0037834,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Brock Purdy,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
SF,00-0032434,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Brandon Allen,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
SF,00-0033949,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Joshua Dobbs,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
TB,00-0034855,0.8762886597938144,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Baker Mayfield,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
TB,00-0036928,0.1237113402061855,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Kyle Trask,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
TEN,00-0034771,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Mason Rudolph,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
TEN,00-0039152,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Will Levis,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
TEN,00-0032156,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Trevor Siemian,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
WAS,00-0039910,0.8415841584158416,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jayden Daniels,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
WAS,00-0032268,0.1188118811881188,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Marcus Mariota,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
WAS,00-0032436,0.0297029702970297,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jeff Driskel,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
WAS,00-0039677,0.0099009900990099,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Sam Hartman,4.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
