coach_id,unit,residual_value,games,season,team_id,source_manifest_hash
Antonio Pierce,offense,-0.1489917906419343,17,2024,LV,daec211cfe940ff0b8c175d9b16010e7
Nick Sirianni,offense,0.025665184215168082,18,2025,PHI,daec211cfe940ff0b8c175d9b16010e7
Jim Harbaugh,offense,-0.03108505128253877,18,2025,LAC,daec211cfe940ff0b8c175d9b16010e7
Raheem Morris,offense,-0.017019378485278062,17,2025,ATL,daec211cfe940ff0b8c175d9b16010e7
Kevin Stefanski,offense,-0.1858780247224688,17,2025,CLE,daec211cfe940ff0b8c175d9b16010e7
Shane Steichen,offense,0.076471108476209,17,2025,IND,daec211cfe940ff0b8c175d9b16010e7
Liam Coen,offense,0.03470851294030103,18,2025,JAX,daec211cfe940ff0b8c175d9b16010e7
Mike Vrabel,offense,0.09391599551531318,21,2025,NE,daec211cfe940ff0b8c175d9b16010e7
Kellen Moore,offense,-0.08370286826823771,17,2025,NO,daec211cfe940ff0b8c175d9b16010e7
Aaron Glenn,offense,-0.12215588654707174,17,2025,NYJ,daec211cfe940ff0b8c175d9b16010e7
Dan Quinn,offense,0.009758982594701964,17,2025,WAS,daec211cfe940ff0b8c175d9b16010e7
Sean Payton,offense,0.03570807257641225,19,2025,DEN,daec211cfe940ff0b8c175d9b16010e7
Mike Macdonald,offense,0.04914640303480751,20,2025,SEA,daec211cfe940ff0b8c175d9b16010e7
Matt LaFleur,offense,0.12598458077960423,18,2025,GB,daec211cfe940ff0b8c175d9b16010e7
Sean McDermott,offense,0.14192595059781604,19,2025,BUF,daec211cfe940ff0b8c175d9b16010e7
Ben Johnson,offense,0.07797083126110896,19,2025,CHI,daec211cfe940ff0b8c175d9b16010e7
John Harbaugh,offense,0.038306355656881876,17,2025,BAL,daec211cfe940ff0b8c175d9b16010e7
Zac Taylor,offense,-0.004103820265777896,17,2025,CIN,daec211cfe940ff0b8c175d9b16010e7
Brian Schottenheimer,offense,0.1013177844545924,17,2025,DAL,daec211cfe940ff0b8c175d9b16010e7
Dan Campbell,offense,0.08562830952064637,17,2025,DET,daec211cfe940ff0b8c175d9b16010e7
Mike McDaniel,offense,-0.012465792533839608,17,2025,MIA,daec211cfe940ff0b8c175d9b16010e7
Mike Tomlin,offense,-0.0018784886821546984,18,2025,PIT,daec211cfe940ff0b8c175d9b16010e7
Brian Callahan,offense,-0.1553188569876072,17,2025,TEN,daec211cfe940ff0b8c175d9b16010e7
Jonathan Gannon,offense,-0.01415436345969042,17,2025,ARI,daec211cfe940ff0b8c175d9b16010e7
Andy Reid,offense,0.03923282020650047,17,2025,KC,daec211cfe940ff0b8c175d9b16010e7
Kevin O'Connell,offense,-0.11114927378210637,17,2025,MIN,daec211cfe940ff0b8c175d9b16010e7
DeMeco Ryans,offense,-0.02639171529046756,19,2025,HOU,daec211cfe940ff0b8c175d9b16010e7
Pete Carroll,offense,-0.2110099891262004,17,2025,LV,daec211cfe940ff0b8c175d9b16010e7
Dave Canales,offense,-0.03697895977851378,18,2025,CAR,daec211cfe940ff0b8c175d9b16010e7
Todd Bowles,offense,-0.004531271639346032,17,2025,TB,daec211cfe940ff0b8c175d9b16010e7
Kyle Shanahan,offense,0.06540304785019062,19,2025,SF,daec211cfe940ff0b8c175d9b16010e7
Brian Daboll,offense,0.01667980117104513,17,2025,NYG,daec211cfe940ff0b8c175d9b16010e7
